Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_1nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_blank_control_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_7.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_1nucleus_25min_DIA_8.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_1.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_2.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_3.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_4.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_5.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_6.raw	E:\dongzhen\0808\Final_used_files\CAF20240808dongzhen_FAXP_ML_cell_2nucleus_25min_DIA_7.raw
Q8CF89	Q8CF89	TAB1_MOUSE	Tab1	TGF-beta-activated kinase 1 and MAP3K7-binding protein 1				3932.55									2256.77					2706.09	2424.03					1781.09	2803.79	
Q8CFA2	Q8CFA2	GCST_MOUSE	Amt	Aminomethyltransferase, mitochondrial	4681.28	1466.04		3006.7	2142.13	2712.01						4788.85	3236.21	4555.88	4358.36	3297.4	3328.39	2949.04	3832.78	3738.14	2995.12	3043.43	5460.08	5049.77	2477.97	3250.14
Q8CFE3	Q8CFE3;Q6PGA0	RCOR1_MOUSE	Rcor1	REST corepressor 1			1534.06			1245.33									1121.76								2007.96		457.153	1188.01
Q8CFE4	Q8CFE4	SCYL2_MOUSE	Scyl2	SCY1-like protein 2	902.435											1220.65		3039.44	1272.12	714.749	416.376	584.939		790.794	783.952	961.749	1325.4		571.731	713.699
Q8CFI0	Q8CFI0	NED4L_MOUSE	Nedd4l	E3 ubiquitin-protein ligase NEDD4-like	608.514																				1861.64					
Q8CFI2	Q8CFI2	UB2R1_MOUSE	Cdc34	Ubiquitin-conjugating enzyme E2 R1			9899.16																773.01							3057.44
Q8CFI7	Q8CFI7	RPB2_MOUSE	Polr2b	DNA-directed RNA polymerase II subunit RPB2	4265.11			4448	6890.75	7576.11							3332.11		1991.3	2147.63	1086.43	3779.37	2230.01	3063.31	2103.77	1964.03	4253.8	3336.51	2644.34	4048.22
Q8CFJ7	Q8CFJ7	S2545_MOUSE	Slc25a45	Solute carrier family 25 member 45	3242.89			1670.73		1399.9						4768.65	3536.53	2237.68	3819.09	4507.06	2831.17	4551.12	6286.99	4907.56	3214.91	3106.95	3235.02	4650.78	3605.71	2883.26
Q8CFQ3	Q8CFQ3	AQR_MOUSE	Aqr	RNA helicase aquarius	1859.95	2175.51		4301.47	5957.43	7826.99						4261.44	2037.28		2252.04	2148.46		2517.87		1413.57	2530.97	6018.02	2200	4693.48	3819.23	5222.95
Q8CFT2	E9PYH6;Q8CFT2	SET1B_MOUSE	Setd1b	Histone-lysine N-methyltransferase SETD1B	1791.76				36207.6	5870.58						5046.73				7184.61	4998.63	6618.48	1955.48	891.833	1017.12	1681.99	28904.9	2623.1	2649.67	
Q8CFX1	Q8CFX1	G6PE_MOUSE	H6pd	GDH/6PGL endoplasmic bifunctional protein	11667.9	10162.7	18607.4	8320.04	9961.66	6949.96						12616.9	9642.15	6853.56	9909.75	8850.95	8838.9	9968.57	8550.21	9318.62	8069.19	9459.45	8337.24	9943.58	10236.1	9693.58
Q8CG16	Q8CG16;Q3UZ09	C1RA_MOUSE	C1ra	Complement C1r-A subcomponent															925.23	899.81	1234.73	1543.66			1290.34		2606.17	3568.95	920.233	3182.52
Q8CG72	Q8CG72	ADPRS_MOUSE	Adprs	ADP-ribosylhydrolase ARH3	3399.25	3902.8		2312.16		3389.97							2293.2		1601.72	1447.23	911.183	1578.26	2015.66	3261.04	2027.6	1856.05		1719.38	1605.14	2210.91
Q8CG76	Q8CG76	ARK72_MOUSE	Akr7a2	Aflatoxin B1 aldehyde reductase member 2	13147.2	7946.82	6610.76	21687.5	15924.4	16167.1						16505.2	18441.3	11293.1	18946.5	16404.6	16148	17171.7	15464.7	18886.9	15990.7	17668.5	21800.2	15402.3	18997	14279.3
Q8CGA0	Q8CGA0	PPM1F_MOUSE	Ppm1f	Protein phosphatase 1F																	260.941	565.461	555.148					434.781	412.807	
Q8CGC6	Q8CGC6	RBM28_MOUSE	Rbm28	RNA-binding protein 28				5652.56	9559.38	7661.74							834.307			1487.35			865.802	3148.32	698.029	537.544	13983.4		2543.07	2994.08
Q8CGC7	Q8CGC7	SYEP_MOUSE	Eprs1	Bifunctional glutamate/proline--tRNA ligase	10395.2	9410.54	18207.1	8283.84	10123.4	7247.8						7738.27	8764.15	13620.6	7101.7	8028.71	8926.63	9573.37	8297.38	8015.23	7644.76	9087.25	7914.65	8765.31	8471.6	9573.64
Q8CGF5	Q8CGF5	TLCD4_MOUSE	Tlcd4	TLC domain-containing protein 4	1445.18														579.423	1257.64	1197.37	1102.19	706.719	570.374	407.779	802.962		1587.91	659.162	1170.43
Q8CGF7	Q8CGF7	TCRG1_MOUSE	Tcerg1	Transcription elongation regulator 1	1668.38	1793.97		7966.23	8498.11	7048.42						2452.32	2759.13	3766.63	1351.78	1346.16	787.14	1794.97	1795.05	2818.82	2005.76	1592.45	3566.57	1570.34	2912.09	3593.08
Q8CGK3	Q8CGK3	LONM_MOUSE	Lonp1	Lon protease homolog, mitochondrial	7757.59	10579.5	12155	7417.29	5212.92	10596	30800.2					10511.1	11246.1	12033.4	12265.8	11771	12952.5	12051.1	12565.5	12123.9	11285	12628.9	12351.3	11234.6	10540.3	11182.3
Q8CGY8	Q8CGY8	OGT1_MOUSE	Ogt	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	2347.77	1796.97	3977.02	4122.91		3440.68						541.138	1542.61	4487.21	1010.17	1239.14	965.249	1426.09	971.783	2044.29	1437.62	1383.79	2709.44	620.714	1560.91	1680.32
Q8CGZ0	Q8CGZ0	CHERP_MOUSE	Cherp	Calcium homeostasis endoplasmic reticulum protein			4961.08	2547.33		2874.65							754.495		866.021	572.7	788.197		885.776	995.672	534.372				1042.96	1613.92
Q8CH02	Q8CH02	SUGP1_MOUSE	Sugp1	SURP and G-patch domain-containing protein 1				1662.77		565.492																			732.259	
Q8CH18	Q8CH18	CCAR1_MOUSE	Ccar1	Cell division cycle and apoptosis regulator protein 1	1662.73			4738.84	8170.86	6002.92							3219.08	1595.13	1608.57	1560.4	722.51	2014.57	952.745	2386.06	2189.07	1599.25	4052.61	2989.96	2421.31	3261.19
Q8CH25	Q8CH25	SLTM_MOUSE	Sltm	SAFB-like transcription modulator	2693.64			7663.38	12772.9	6356.69							1919.48		2230.12	1907.65		1880.52	1934.38	2603.91	1932.02	1999.96	3078.61	1920.17	3315.67	3623.3
Q8CHH9	Q8CHH9	SEPT8_MOUSE	Septin8	Septin-8	474.853		9966.85																			424.513			575.679	2139.24
Q8CHP5	Q8CHP5	PYM1_MOUSE	Pym1	Partner of Y14 and mago	4283.29	4282.28		520.223		1391.45							2413.62		2565.79	2238.06	2445.22	2591.2	2712.53	2060.3	2336.39	1716.76	2408.36	3283.7	2682.6	3144.77
Q8CHP8	Q8CHP8	PGP_MOUSE	Pgp	Glycerol-3-phosphate phosphatase	5164.74	5619.87		7432.22	5861.51	6991.03						4911.86	4274.97		3387.36	3884.95	4020.69	3842.48	4604.23	5727.6	4281.68	3775.15	6009.42	4256.68	4250.57	3904.38
Q8CHQ9	Q8CHQ9	NT8F2_MOUSE	Nat8f2	N-acetyltransferase family 8 member 2	13723.5	4260.26		14693.8	5698.18	12652.4						26721.3	19180.4	13942.5	24751.8	26300.8	25712.2	25195	29228.8	26645.8	16197.5	16150.8	14353.7	26563.2	24336.3	15110
Q8CHR6	Q8CHR6	DPYD_MOUSE	Dpyd	Dihydropyrimidine dehydrogenase [NADP(+)]	23621.8	13810	16493	9552.28	8646.51	10825						14152	13830.2	10334.2	11169	11864	12259.9	12311.9	13561	12484.9	14962.2	12969.8	13426.7	11770.9	13468.6	12475.5
Q8CHT0	Q8CHT0	AL4A1_MOUSE	Aldh4a1	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial	77383.8	52439.9	19444.8	34795.1	67239.7	36164			14158.9			64459.9	66162	44770.7	72126.2	77295.6	65172.1	73253	77641.4	66987.4	70326.5	70629.1	89135.9	67356.8	71540.6	62134.1
Q8CHT1	Q8CHT1	NGEF_MOUSE	Ngef	Ephexin-1	1415.99												727.178		409.043	280.982	342.493	580.89	530.332	488.652	895.219	334.479	2568.72		344.124	680.792
Q8CHT3	Q8CHT3	INT5_MOUSE	Ints5	Integrator complex subunit 5				2801.4	2305.58	3264.42												476.252		1274.23		830.165	1016.56		969.351	808.556
Q8CHW4	Q8CHW4	EI2BE_MOUSE	Eif2b5	Translation initiation factor eIF2B subunit epsilon		2094.66	4350.6	2215.33	1115.97	1781.78						3411.91	2223.99	20432.7	1979.43	1868.55	1592.51	2387.76	2149.31	2520.17	1314.72	1858.04	2123.69	1951.36	1995.81	2399.13
Q8CHW5	Q8CHW5	BICL2_MOUSE	Bicdl2	BICD family-like cargo adapter 2			4505.46											26956.1											806.082	
Q8CHY3	Q8CHY3	DYM_MOUSE	Dym	Dymeclin	2310.66														1098.14	1085.44	1478.21	2119.66		1191.4	1288.07			1510.6	1299.22	3395.75
Q8CHY6	Q8CHY6	P66A_MOUSE	Gatad2a	Transcriptional repressor p66 alpha	914.493			2540.66		2693.28							630.166		566.893	879.881				785.144	620.267	471.203	1025.25		899.535	1660.28
Q8CI11	Q8CI11	GNL3_MOUSE	Gnl3	Guanine nucleotide-binding protein-like 3				1248.8		2331.03							869.042		535.53	581.848			486.222		539.532		642.737		592.427	
Q8CI32	Q8CI32	BAG5_MOUSE	Bag5	BAG family molecular chaperone regulator 5	1296.61			2228.62								1660.39	759.697		530.679	721.371	887.023	608.179	1256.77	667.145	971.805	879.539		1299.76	768.35	902.734
Q8CI33	Q8CI33	C19L1_MOUSE	Cwf19l1	CWF19-like protein 1	770.387			3096.39		3955.32							1399.65		975.289	367.379		980.375	716.174	1362.81	871.732	1191.59			1820.89	1825.2
Q8CI51	Q8CI51	PDLI5_MOUSE	Pdlim5	PDZ and LIM domain protein 5	3239.47	2902.43	11500.9	801.998		1859.92						1786.51	2789.76	1323.79	2471.72	2376.39	2309.02	2641.08	2067.51	3707.74	2471.87	2603.89	3371.94	2178.02	1937.17	3070.65
Q8CI59	Q8CI59	STEA3_MOUSE	Steap3	Metalloreductase STEAP3	1056.77														1107.11	706.546	1401.75	393.763	1608.96		1253.24	1343.85		1256.17	293.484	466.506
Q8CI75	Q8CI75	DI3L2_MOUSE	Dis3l2	DIS3-like exonuclease 2	588.006	549.271	1549.68									595.874	678.475		326.481	566.629	427.606	485.667	639.686	963.156	321.476	452.242			537.375	451.137
Q8CI78	Q8CI78	RMND1_MOUSE	Rmnd1	Required for meiotic nuclear division protein 1 homolog	1008.02	1050.16											1405.14		798.216	856.894	1135.28	1139.43	1218.03	1493.2	926.44	1662.23	1212.16	836.226	1183.44	591.442
Q8CI94	Q9WUB3;Q8CI94	PYGB_MOUSE	Pygb	Glycogen phosphorylase, brain form	1481.25	4910.76	10860.5						14394.2				1965.21	3065.51	1675.95	1526.38	1147.88	1591.38	1749.99	1844.92	1947.11	1598.3	1672.79	1745.22	1122.74	2968.48
Q8CI95;S4R1M9	Q8CI95;S4R1M9	OSB10_MOUSE;OSB11_MOUSE	Osbpl10;Osbpl11	Oxysterol-binding protein-related protein 11	1533.09		6011.53										1265.19		847.528		920.391			1292.27				541.281	361.898	901.677
Q8CIB5	Q8CIB5	FERM2_MOUSE	Fermt2	Fermitin family homolog 2	6107.52	5304.77		3065.73		1878.53							3080.87		2889.78	4067.85	3868.68	3350.25	4006.69	4268.09	3451.88	3697.82	3442.91	6281.82	3109.1	3232.68
Q8CIE6	Q8CIE6	COPA_MOUSE	Copa	Coatomer subunit alpha	14770	12298.9	35679.2	12401	12652.5	11999.7			25770.9			15303.9	14871.2	24788.4	15213.4	16230.1	15368.4	17312.3	16854.8	16807.4	17729	16426	14775.6	15590.8	17351.5	18750.3
Q8CIF4	Q8CIF4	BTD_MOUSE	Btd	Biotinidase	3345.24			2931.98									1506.9		1430.05	1430.45	1488.71	1117.38	1243.6	1508.78	1180.12	1065.96		10122.5	1643.96	1918.96
Q8CIF6	Q8CIF6	SIDT2_MOUSE	Sidt2	SID1 transmembrane family member 2	1405.29	2258.23	7352.97										907.851	10007	841.263	426.483	978.913	1842.9	1142.83	2410.54	788.184	706.387		1515.1	972.748	2684.38
Q8CIG8	Q8CIG8	ANM5_MOUSE	Prmt5	Protein arginine N-methyltransferase 5		4363.82	3627.46			941.342									1043.81		464.115	1017.91		2116.14	1446.6		2065.35		1307.88	2492.27
Q8CIH9	Q8CIH9	PUR1_MOUSE	Ppat	Amidophosphoribosyltransferase	889.5					1458.36						951.621	765.77	1292.24	559.124	960.105	856.872	494.813	623.056	972.808	1064.39	690.426	1048.59		1142.85	464.076
Q8CII2	Q8CII2	CD123_MOUSE	Cdc123	Translation initiation factor eIF2 assembly protein																	272.874	205.645	294.13						444.325	237.829
Q8CIM3	Q8CIM3	D2HDH_MOUSE	D2hgdh	D-2-hydroxyglutarate dehydrogenase, mitochondrial	3423.44												696.02		439.657		153.872				646.488	1015.33		975.766	832.558	
Q8CIM7	Q8CIM7	CP2DQ_MOUSE	Cyp2d26	Cytochrome P450 2D26	35176.8	27845.3		23115.8	20412.6	16547.5						27877.1	28326.3	19327.3	28539.1	29792.2	34586.4	29079.7	27949.6	26965.5	27856.5	31242.7	20859.7	30736.4	30119.4	22875
Q8CIM8	Q8CIM8	INT4_MOUSE	Ints4	Integrator complex subunit 4																									386.558	
Q8CIN4	Q8CIN4	PAK2_MOUSE	Pak2	Serine/threonine-protein kinase PAK 2													1280.61		1123.72	1110.97	1483.91	1853.88	1708.14		1571.64	1212.57	2008.32	2863.69	1866.03	1777.5
Q8CIQ7	Q8CIQ7	DOCK3_MOUSE	Dock3	Dedicator of cytokinesis protein 3				2005.96	15574.1	7382.85	154863	449384	244358	323455	670987			32811.3	385.157		752.47						2799.12	4622.38		1109.42
Q8CIV2	Q8CIV2	MBRL_MOUSE	Tmem259	Membralin													1062.41		685.384			1373.28			584.753					1838.74
Q8CJF7	Q8CJF7	ELYS_MOUSE	Ahctf1	Protein ELYS	71586.9	23416.2		12252.4		16334.3	715252			1.18352e+06		26091.5	47826.7	5580.59	10949.2	4825.03		9985.94	22108	29697.3	14162.4		23493	25334.2	7311.5	29071.3
Q8CJG0	Q8CJG0	AGO2_MOUSE	Ago2	Protein argonaute-2	7749.19	7865.39							37993.8				2438.11		1318.83	1473.15	1314.85	2813.07	1905.04	2813.86	1857.17		2237.34		1486.6	4134.92
Q8CJG1	Q8CJG1	AGO1_MOUSE	Ago1	Protein argonaute-1	2534.59		4920.29						108615				2207.87		1414.85	1725.04	1403.85	2998.22	1806.64	2852.88	1855.01	1733.95	1166.25	2042.38	2063.43	4554.83
Q8JZK9	Q8JZK9	HMCS1_MOUSE	Hmgcs1	Hydroxymethylglutaryl-CoA synthase, cytoplasmic	6615	8122.74	4294.33	4399.54		5646.25						5442.65	3086.19		2818.27	2124.44	2557.78	1730.48	3425.06	3955.63	2934.62	2146.08	3164.88	5382.12	3276.87	2603.43
Q8JZL3	Q8JZL3	THTPA_MOUSE	Thtpa	Thiamine-triphosphatase						1320.59										828.634	785.416	1021.61			1066.49	578.982		1453.11	890.251	1234.76
Q8JZM7	Q8JZM7	CDC73_MOUSE	Cdc73	Parafibromin	3392.87			11275.2	18949	6761.82						2142.02	2129.14			3084.59	2777.97	6404.67	4335.23	2390.57	1592.09	1003.59	2643.06	4580.89	5768.7	2392.9
Q8JZN5	Q8JZN5	ACAD9_MOUSE	Acad9	Complex I assembly factor ACAD9, mitochondrial	6300.28	5841.34	40407.7	3299.09		3773.26						4558.68	4767.02	12127.3	4483.38	4842.16	5730.56	5436.56	6259.31	5126.74	4622.96	4456.15	5260.96	6222.5	4473.91	4788.61
Q8JZN7	Q8JZN7	MIRO2_MOUSE	Rhot2	Mitochondrial Rho GTPase 2	1051.81		3188.85			574.154							1853.41	8227.83	2832.02	1959.08	2677.65	2361.85	3264.36	2600.82	2111.01	1880.14		3042.52	2085.23	1857.53
Q8JZQ2	Q8JZQ2	AFG32_MOUSE	Afg3l2	Mitochondrial inner membrane m-AAA protease component AFG3L2	4906.38	5319.4	14242.6	2341.66	6654.34	3460.63						5059.86	5387.27	9523.99	4990.88	4862.88	5183.75	4708.88	5757.35	4870.17	4311.29	5632.63	5274.91	5935.58	4285.07	4807.36
Q8JZQ9	Q8JZQ9	EIF3B_MOUSE	Eif3b	Eukaryotic translation initiation factor 3 subunit B	5835.45	6223.42	14620.7	4358.35		3117.97						8049.88	5294.31	8359.24	5112.3	4284.02	5043.18	6064.26	4769.15	5757.11	5644.35	5292.35	4096.98	5699.41	4917.03	6878.73
Q8JZR0	Q8JZR0	ACSL5_MOUSE	Acsl5	Long-chain-fatty-acid--CoA ligase 5	20783.7	11529		11013.3	14921.2	15597.2						20122.1	20113.3	15209.5	22809.6	21719	21475.7	22548.3	23154.1	20690.3	19963.1	21845.7	21831	21878.2	21702.5	21200.8
Q8JZS0	Q8JZS0	LIN7A_MOUSE	Lin7a	Protein lin-7 homolog A	2449.17	1569.77	4914.58			1117.42							440.947		824.632	1129.42	630.639	631.537	912.241	1309.98	1042.31	958.048		1239.98	1171.83	418.708
Q8JZU2	Q8JZU2	TXTP_MOUSE	Slc25a1	Tricarboxylate transport protein, mitochondrial	15837.1	10650.9	21204.6	15045.3	11818.1	13369.9						28963.7	27967.7	19099.3	28222.1	31314.1	23797	26337	31090	21292.5	26014.3	33094.4	22546.4	28022.7	21606.2	24804.3
Q8JZV4	Q8JZV4	RBM41_MOUSE	Rbm41	RNA-binding protein 41						4200.84										875.094	2110.5	2111.32	2902.32		1040.25	3001.5			1967.48	
Q8JZV7	Q8JZV7	NAGA_MOUSE	Amdhd2	N-acetylglucosamine-6-phosphate deacetylase	366.671												385.894			461.98	417.683			681.131	737.072	804.665	764.573		526.887	
Q8JZV9	Q8JZV9	DHRS6_MOUSE	Bdh2	Dehydrogenase/reductase SDR family member 6						3531.64			32994.5				1754.11					1595.52			2390.95	2494.8				2315.22
Q8JZX4	Q8JZX4	SPF45_MOUSE	Rbm17	Splicing factor 45				6564.36	3603.35	4341.66							1662.16	4354.89	1275.86	685.119		477.782	463.617	1573.2	1069.03	1251.7	1353.03		1732.35	1900.58
Q8JZZ0	Q8JZZ0	UD3A2_MOUSE	Ugt3a2	UDP-glucuronosyltransferase 3A2	13455.7	11835.2		12697.1	8226.57	10457						16938.1	17475.6	10931.3	16813.9	18415.1	17382	20557.4	17821.5	21365.3	15610.6	19182.2	16607.3	18330.4	18826.3	14432.5
Q8K003	Q8K003	TMA7_MOUSE	Tma7	Translation machinery-associated protein 7	7496.35	6309.74	4823.39	755.306									1288.9		1310.37	1015.88	1256.48	1939.46	2597.39	2438.48	2069.21	1980.87	3061.38	1244.45	1565.84	1991.38
Q8K009	Q8K009	AL1L2_MOUSE	Aldh1l2	Mitochondrial 10-formyltetrahydrofolate dehydrogenase				3521.57									3409.17		3109.15	3447.3	2422.43			3231.85	2894.96	3353.72	2215.79		2367.8	3572.67
Q8K010	Q8K010	OPLA_MOUSE	Oplah	5-oxoprolinase	11217.5	14177.6	48130.1	10500.4	11130	13316			23639.6			13409.8	10785.2	6335.73	11237.7	10105.5	10126.8	11175.1	10328.9	12374.6	11281.4	11014.7	10400.9	9308.95	10999.7	12030.8
Q8K019	Q8K019	BCLF1_MOUSE	Bclaf1	Bcl-2-associated transcription factor 1	2183.48	1689.4		8148.21	3669.32	8437.99						4113.43	3556.51		2544.99	2151.03	1967.01	2797.08	2575.26	4591.41	2793.27	1564.43	5404.43	2749.74	4500.83	4444.05
Q8K021	Q8K021	SCAM1_MOUSE	Scamp1	Secretory carrier-associated membrane protein 1													1530.87				1829.78				1217.87	1052.99				
Q8K023	Q8K023	AKC1H_MOUSE	Akr1c18	Aldo-keto reductase family 1 member C18	488.479	765.182				1393.6						892.425	1727.6	1106.81	1558.26	2302.34		2228.22	1690.11	2275.55	1100.43	2072.61	1607.02	1503.84		1283.07
Q8K0C4	Q8K0C4	CP51A_MOUSE	Cyp51a1	Lanosterol 14-alpha demethylase	3367.32	2986.07	8526.79	1872.72		2521.85						5572.44	3503.63		2569.14	2760.06	2679.34	2743.86	2944.48	2968.82	3251.58	3049.13	3955.33	3941	2892.43	3232.74
Q8K0C9	Q8K0C9	GMDS_MOUSE	Gmds	GDP-mannose 4,6 dehydratase	44378.6	35614.7				6692.4														15711	10387.4	18421.1	22503.3			
Q8K0D5	Q8K0D5	EFGM_MOUSE	Gfm1	Elongation factor G, mitochondrial	5705	11030.5	10917.5	6500.16	23333.6	10916.4						7496.42	7634.51	10792	7500.83	7329.3	7217.44	7309.84	7523.57	7644.98	8728.26	7686.04	7127.39	8370.32	5897.81	6838.04
Q8K0E8	Q8K0E8	FIBB_MOUSE	Fgb	Fibrinogen beta chain	25693.1	11309.9	23616.3		5560.94	5459.86	81618.6		30115.8			5177.98	5304.97	2932.38	4776.38	3779.62	3934.66	4594.51	4044	3777.58	4685.46	4811.79	6220.8	7017	4915.89	8128.93
Q8K0G8	Q8K0G8	ESRP2_MOUSE	Esrp2	Epithelial splicing regulatory protein 2		2494.7	17031.4	4264.77	5380.93	7251.84							2710.59	36420.1	2431.53	2061.77	2375.8	2854.84	1668.45	2028.54	1642.14	1882.07	6807.76		3747.99	5927.82
Q8K0L3	Q8K0L3	ACSM2_MOUSE	Acsm2	Acyl-coenzyme A synthetase ACSM2, mitochondrial															175.062											
Q8K0L9	Q8K0L9	ZBT20_MOUSE	Zbtb20	Zinc finger and BTB domain-containing protein 20				3133.46		6834.96							1685.51			1631.54		586.901	1445.61	1393.08	1769.81	1661.07	1356.69		1953.27	2935.06
Q8K0R6	Q8K0R6	GLTD2_MOUSE	Gltpd2	Glycolipid transfer protein domain-containing protein 2	1937.41	1699.97										1324.18	759.093		1160.28	538.92	489.605	664.375		1930.98	1016.21	803.96	1777.22		537.087	1442.25
Q8K0T0	Q8K0T0	RTN1_MOUSE	Rtn1	Reticulon-1				1012.31		469.215							1083.43													
Q8K0Y2	Q61765;Q61897;Q9D646;Q8K0Y2	KT33A_MOUSE	Krt33a	Keratin, type I cuticular Ha3-I	14684.4	7124.76		3074.99	4419.15	4325.64	275533	307286	92742.9	38535.4			2813.02	7.61267e+07	102462		1428.63			8282.58	2194.29	919	4412.09	5968.52	428.872	2310.32
Q8K0Z7	Q8K0Z7	TACO1_MOUSE	Taco1	Translational activator of cytochrome c oxidase 1	2243.38	2048.77		2790.52	4071.2	1519.94						4450.21	3545.3		2566.04	3719.31	4643.33	3718.36	4587.67	3040.44	2609.37	3570.6	3140.7	4634.13	3891.24	4486.34
Q8K114	Q8K114	INT9_MOUSE	Ints9	Integrator complex subunit 9			5738.2	1749.39		4873.04						2920.57	486.853			467.717	217.334	529.994			535.862			1199.45	906.823	
Q8K157	Q8K157	GALM_MOUSE	Galm	Galactose mutarotase	28921.7	26652.8		30993	11291.7	33991.6						11690	24347.7	25116.7	28570.8	24490.2	18641.8	23591.1	26032.4	21878.8	21632.6	22212.5	19273.9	26317.7	24118.7	28984.9
Q8K182	Q8K182	CO8A_MOUSE	C8a	Complement component C8 alpha chain						19141							13775.6		6376.02	6015.5	10466.3	12509.7	11652.9	6068.45	11729.3	8951.17	8840.26		7581.06	15896.1
Q8K183	Q8K183	PDXK_MOUSE	Pdxk	Pyridoxal kinase	5511.35	5719.1	10986.9	8203.64	13047.9	5206.28						8900.88	5797.3		5213.17	4802.62	3296.04	5403.28	4206.25	5671.94	5089.79	4453.73	7535.99	5471.63	5199.51	6332.89
Q8K1C9	Q8K1C9	LRC41_MOUSE	Lrrc41	Leucine-rich repeat-containing protein 41				1264.83		3097.62														590.222	417.414				758.686	2449.22
Q8K1E0	Q8K1E0	STX5_MOUSE	Stx5	Syntaxin-5			3194.41	2151.95									1409.55		1145.94	1397.83	1355.38	2993.16	1581.35	1559.93	1481.55	1270.95		1503.2	1595.39	2278.42
Q8K1E6	Q8K1E6	ALKB3_MOUSE	Alkbh3	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 3													543.018			925.9		984.112							767.028	
Q8K1J6	Q8K1J6	TRNT1_MOUSE	Trnt1	CCA tRNA nucleotidyltransferase 1, mitochondrial	1417.15	2182.85	1318.29	2808.57		1658.87						2372.75	1624.36		1202.7	1096.4	762.305	1033.13	1050.09	1308.8	2001.25	543.175	3428.81	1311.56	1344.5	1491.04
Q8K1K6	Q8K1K6	SPB10_MOUSE	Serpinb10	Serpin B10	11920.4		122587						51582.9				4057.75					1489.79	2227.36	477.871	876.242		6748.06		12121	1331.97
Q8K1M6	Q8K1M6	DNM1L_MOUSE	Dnm1l	Dynamin-1-like protein	4723.16	3813.9	3054.85	4868.38		3813						5364.87	4613.69	18421.4	5025.46	4470.53	4587.19	5409.61	5762.28	5391.03	4680.19	4584.75	4664.37	5301.24	5707.37	4316.05
Q8K1N1	Q8K1N1	PLPL8_MOUSE	Pnpla8	Calcium-independent phospholipase A2-gamma	1907.82	9056.07	5647.33	3120.53								3316.98	2853.2	3300.91	3299.99	2416.55	3810.73	5830.84	2897.83	3938.44	2551.3	2785.88	3067.65	3713.72	3034.43	4479.66
