Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_1_Slot2-34_1_17045.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_2_Slot2-34_1_17047.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_350um_65min_DIA_3_Slot2-34_1_17049.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_1_Slot2-35_1_17057.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_2_Slot2-35_1_17059.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_500um_65min_DIA_3_Slot2-35_1_17061.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_1_Slot2-36_1_17070.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_2_Slot2-36_1_17072.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221203dongzhen_InTip_750um_65min_DIA_3_Slot2-36_1_17074.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_1_Slot2-34_1_17084.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_2_Slot2-34_1_17086.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1mm_65min_DIA_3_Slot2-34_1_17088.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_1_Slot2-37_1_17108.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_2_Slot2-37_1_17114.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InGel_1500um_65min_DIA_3_Slot2-37_1_17116.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_1_Slot2-33_1_17082.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_2_Slot2-33_1_17090.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1mm_65min_DIA_3_Slot2-33_1_17092.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_1_Slot2-35_1_17106.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_2_Slot2-35_1_17110.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221205dongzhen_InTip_1500um_65min_DIA_3_Slot2-35_1_17112.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_1_Slot2-34_1_17144.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_2_Slot2-34_1_17145.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_2mm_65min_DIA_3_Slot2-34_1_17146.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_1_Slot2-36_1_17149.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_2_Slot2-36_1_17157.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InGel_3mm_65min_DIA_3_Slot2-36_1_17158.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_1_Slot2-33_1_17166.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_2_Slot2-33_1_17167.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_2mm_65min_DIA_3_Slot2-33_1_17168.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_1_Slot2-35_1_17151.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_2_Slot2-35_1_17176.d	\\172.16.13.136\share\members\Dongzhen\ProteomEx2\N20221203dongz_ProteomEx2_exp_Ib\N20221206dongzhen_InTip_3mm_65min_DIA_3_Slot2-35_1_17177.d
Q64735	Q64735		Cr1l		1873.24		3866.57		1088.11		1453.17	1404.31	1685.12							1771.13	2518.7	2126.22	1955.71	2278.15	1758.22	1271.41	2301.52	1559.65	1746.85	1675.68	1985.21	1742.19	1806.32	1912.33	2690.55	2129.28	2200.97
Q64737	Q64737		Gart		10895.3	11060	12663.7	9673.62	10353.9	11082.7	10563.6	12148.8	11436.7	52507.4	28701.4	23478.4	21628.5	22549.2	20997.3	9901.48	10151.6	10036.2	11229.8	10880.7	11000.2	12786.6	11397.6	11952.5	17408.6	15785.5	16312.5	13917.6	15918.1	14858.2	21194.4	21075.3	19401.2
Q64FW2	Q64FW2		Retsat		13357.1	14148.9	15686.8	16474.7	13984.7	16411.1	17865.8	17269	18352.7				14110	8840.01	13942.8	20802	19679.1	20965.4	20148.1	19462.9	22297.6	19298.2	17987.9	18244.8	15626.7	15961.1	14932.7	16233.3	16805.9	14890	26972.8	20938.6	22096.3
Q65Z40	Q65Z40		Wapl				2320.99		1637.09	2192.7	2140.93	1568.46	1598.11						664.264	2338.48	2228.51	2377.1	1065.57	2189.69	1970.87	1781.28	2291.8	1703.87	3365.33	3396.71	3247.35	2332.77	2942.22	2113.03	2547.33	2947.62	2521.49
Q66GT5	Q66GT5		Ptpmt1		3288.15	5391.58	5525.85	3779.38	4326.4	4535.97	3649.99	3581.17	3930.62						4143.67	2669.11	2889.94	2906.35	3349.74	3449.01	3712.81	2093.38	2248.96	2595.26	4962.99	4548.72	4701.6	4739.88	5670.36	4934.56	6098.85	5426.88	5742.01
Q66JY2	Q66JY2		Ino80d																							1482.6	1414.6	1687.98	3543.52	2655.67	3189.81	1805.7	1270.63	1227.21	2648.53	2260.26	2206.45
Q66JZ4	Q66JZ4		TCAIM			2183.61			1833.74	962.985	1579.75	1742.09	1765.16				4889.57	2425.09	4090.39	1334.22	2133.39	1514.35	1697.76	1951.41	2292.2	2690.05	2390.54	2488.21	1979.6	1834.35	3356.34	2164.68	2084.47	2013.44	4795.68	4640.48	3966
Q689Z5	Q689Z5		Sbno1								759.44	886.391	1474				2626.97	2205.34		1188.28			916.737	909.202	669.722				950.124	850.748	693.79	832.899	820.759	889.728	2375.09	1489.45	1537.93
Q68ED2	Q68ED2		Grm7		2058.95	3656.49						2956.09	3816.61							4287.8	3776.57	3554.96	4619.18	5008.55	5664.01	4350.44	4094.14	3891.92	3926.73	4611.69	4873.92	4134.11	4702.62	4932.9	5409.9	4306.48	5388.68
Q68ED3	Q68ED3		Tent4b																						482.353	323.274				808.994	702.159	682.284	995.555	684.53	2337.4	1381.95	1495.09
Q68EF0	Q68EF0		Rab3ip		916.813			847.696	955.746		706.282	632.922	634.142							665.097	906.858	553.367	532.034	500.738	692.661	607.549	625.39	704.358	1295.23	1254.63	1207.1	1029.22	1081.25	1070.19	1442.06	1141.86	1393.35
Q68FD5	Q68FD5		Cltc		76944.6	77953.2	78438.3	76225.6	78437.9	78842.6	80276.8	80581.5	78149.6	293903	263727	238184	148778	96658.1	98069.7	88809	89903.5	86044.3	97058.4	97402.1	96316.2	80923.1	81600.2	78389.9	90529.6	86708.1	87140.4	99225.8	96729.4	96672.3	133454	115814	113996
Q68FE2	Q68FE2		Atg9a																	4242.76	3683.08		3326.02	3416.98	3947.44	4458.28	4148.69	3473.04	1973.54	2342.93	2357.8	1833.06	2054.74	1808.93	3139.99	2254.99	2311.86
Q68FE6	Q68FE6		Ripor1		1070.29		1084.06			744.016	1151.17	849.695	871.221							1171.97		994.131	1072.47	1128.89	1026.17	930.356	1197.88	1598.64	1732.58	2322.1	1753.67	3126.11	3075.81	2686.75	2703.04	2900.41	2983.47
Q68FF6	Q68FF6		Git1			3793.24					2912.35	2289.88	3019.73							3420.04		2033.69		3505.76	3144.58	4090.26	3526.66	3808.08	8021.3	6885.45	6970.31	3730.11	3027.96	3803.4			
Q68FF9	Q68FF9		Srd5a1		34502.1	47204.1	47502.4	37027.8	34690.9	33253.3	25509.5	27829.2	32148.4							33728.4	38294.9	33464.2	27056.9	24428.5	29214	9483.11	9819.27	9885.54	18054.7	15611.8	14045	6900.67	3872.17	9412.43	15079.3	6321.59	6104.78
Q68FH0	Q68FH0		Pkp4		16347.8	16160.2	21507.1	14835.4	19316.7	16741.2	18632.4	19232.3	21451.9	35641.5	42344.8	22690.2	26206.7	30889.1	29583.2	17669.5	14571.5	21126.4	17178.5	18817.7	15972.6	27382.9	26720.8	31454.7	25711.4	27143	23174.1	18465.9	23584.8	22720.4	28394.6	24272.7	24401.8
Q68FH4	Q68FH4		Galk2		9739.03	13053.2	11583.1	6662.03	9762.25	5913.68	6194.88	6931.99	7395							7559.18	9575.18	7907.49	7512.1	7075.96	7577.5	7706.97	8944.25	8863.98	8147.5	6672.51	6726.5	6426.78	6981.79	7157.8	7847.21	7431.72	7893.81
Q68FL4	Q68FL4		Ahcyl2			3333.9		2611.08			1820.48		2730.61				3809.63	3610.09	4264.28	4146.92	2115.38	3058.96	2973.83	3973.26	3792.56	2033.71	2654.73		4089.25	4287.31		3166.28	4188.46				
Q68FL6	Q68FL6		Mars		16953.2	17644.2	18755.7	16436.6	15241.8	16123.3	15629.1	15156.6	16222.8	99155	80819	77505.4	19317.7	19955.9	20406.8	15744.6	15579.9	14812.8	14101.3	14758.2	14656.5	13994.7	13282.1	13679.3	17368.4	14629.2	15922.5	17415.4	17671.1	16519.1	23942.1	18258.2	20434.5
Q69Z37	Q69Z37		Samd9l				1558.67	2189.46	1499.4		998.616	945.919									1709.08	1252.42	900.155	881.537	830.658	643.783			1414.27	1265.61	1543.53	1050.26	1158.36	1280.11	3459.7	1851.08	2496.57
Q69Z38	Q69Z38		Peak1																				29346.1		3713.56				16619.5	22271.5	22597.5	18195.2	17056.6	14665.2	10258.8	12719.3	9921.42
Q69ZA1	Q69ZA1		Cdk13																				1028.14	1016.89								1440.77	1725.12	1169.13		1876.42	1769.46
Q69ZF3	Q69ZF3		Gba2								1982.02	1229.92	2101.78							1645.94	1391.56	1741.55	2004.04	2215.76	2278.58	1909.86	1506.84	1771.5	3135.43	1863.13	2198.14	1624.39	1632.14	1469.88	3453.38	2355.85	2950.59
Q69ZF7	Q69ZF7		Cnnm4		5064.54	5991.46	6195.84	6398.77	8371.12	7290.26	3446.8	2709.26	3370.19							1692.31	1947.82	2793.99	1771.77	2520.55	2515.63	748.508		1069.12				572.564	676.123				
Q69ZJ7	Q69ZJ7		Ric1		2464.79			977.014		1483.24	1154.37	1656.45								1032.99	1101.07	753.055	709.986	954.204	710.108	1149.59	1463.86	1176.79	1213.42	843.723	896.916	941.217	1074.07	928.051	1813.08	1610.22	1438.51
Q69ZN7	Q69ZN7		Myof																				948.418	1318.3			1299.65	959.427		691.158	1210.16	1148.19	878.965	1049.85		1242.99	1560.62
Q69ZP3	Q69ZP3		Pnkd		2171.94			1576.34			1762.21	1835.11	1805.75				1239.82	1717.22	2597.95	2093.29	2077.28	2286.64	3265.76	2900.97	2776.99	3843.51	3578.4	3917.52	3648.92	3735.23	4469.96	3773.05	3632.45	3103.76	6763.37	5780.65	5648.89
Q69ZQ1	Q69ZQ1		Myorg		6142.69			2636.27		3180.49	3536.69	3183.09	3306.81							3378.61	2420.23	3448.29	3338.23	3565.13	2890.77	3562.1	3780.96	3773.19	4481.81	4380.68	4020.75	3434.09	3325.85	4121.47	5536.2	5009.03	4868.46
Q69ZQ2	Q69ZQ2		Isy1																	1311.02	1058.17			1001.63	1251.18	1965.04	983.736	1373.06	2011.13	899.75	1902.66	1250.55	1094.42	1065.22	3436.46	2850.6	2872.67
Q69ZR2	Q69ZR2		Hectd1		6113.13	7301.23	8070.12	5988.54	6234.17	5504.91	6525.2	6876.18	6768.96		16684.1	20618.6	13769.7	15913.7	14242.9	6878.88	6989.4	6838.7	7115.01	7585.04	7953.85	8588.43	9116.85	8328.42	10189.3	9565.66	8779.77	9500.48	9545.72	9880.64	14220.2	13276	13080.6
Q69ZR9	Q69ZR9		Fam208a																	6218.44	5528.75	4618.25	8285.69	9518.7	8107.44				2921.39	310.92		6544.15	6963.53	7049.82	12127.4	12734.4	11584.6
Q69ZS7	Q69ZS7		Hbs1l		5372.03	5521.63	6678.81	2308.94	2045.99	5127.75	4533.15	5409.31	4719.88			14895		8036.82	7376.31	5409.27	5130.22	4756.52	4870.8	6135.62	6043.38	3933.94	4047.89	4386.85	4198.3	5111.81	4368.35	5072.42	5024.43	5124.81	8873.47	5530.56	6347.74
Q69ZT1	Q69ZT1		Fan1		5666.71		4022.16				5337.08		3152.08							4433.39	3875.79	4139.02	5054.23	4778.28	4117.8	4813.6	7813.17	7235.87	4910.17	4704.18	7263.72	4222.94	5902.33	5783.15	6757.79	8014.41	8497.8
Q69ZX8	Q69ZX8		Ablim3								1078.81										485.117	330.329	577.699	771.158	622.694	524.639	530.123	669.626	800.683	1051.46	802.14	529.98	646.776	792.266	1221.22	1182.91	814.768
Q69ZZ6	Q69ZZ6		Tmcc1		7055.2						4133.42	3809					5779.18	6701.97		4248.03	4325.63	3295.65	2402.38	2465.17	3454.55		1748.68	1513.07				895.671				1530.97	
Q6A009	Q6A009		Ltn1		2732.07	2802.98	3871.38	3078.78	2234.62	3013.81	2320.45	2324.88	2599.37				2032.06			2287.07	1974.44	2230.22	2138.11	2362.83	2749.63	2103.54	2227.16	2512.64	2959.12	2975.96	3308.58	3540.32	3660.81	3278.38	4223.99	4791.25	4905.03
Q6A026	Q6A026		Pds5a		557.009			1340.31	1110.24	1077.42	1493.37	1730.93	1645.85							1843.57	2001.57	2208.59	2170.44	2502.95	1965.39	2734.77	1978.89	2191.77	3213.76	3113.43	2970.7	3397.24	3254.66	3636.16	4297.87	4028.72	3870.03
Q6A028	Q6A028		Swap70		6731.09	2840.15	2228.74	3663.57	3396.54	3097.2	2547.07	2955.06	3187.67							2980.85	2823.03	2878.73	3351.28	2877.34	3512.03	3664.83	2906.67	3017.5	4118.02	3274.67	2371.36	3576.42	3057.15	3504.39	4312.31	6501.96	4838.92
Q6A068	Q6A068		Cdc5l		7616.43	9293.31	6405.07	4295.71	4410.07	4439.43	4920.31	4193.1	4739			10290.6	9191.96	6071.34	5531.58	4327.06	4613.09	4210.63	4265.61	4467.85	4288.64	5289.81	4598.53	4674.75	5796.43	4717.95	5436.41	3811.8	3999.22	3689.77	3551.57	3549.21	3808.73
Q6A098	Q6A098		Secisbp2l				39104.7		35084.9							22299.3	19281		20855.8			1295.09							3090.48	2539.71	2184.34						
Q6A0A2	Q6A0A2		Larp4b		3418.31	4141.61	3323.01	2061.07		3376.52	2436.5	2241.76	1869.99							2070.91	2029.96	2025.88	2083.05	2126.88	2200.89	2462.58	2578.77	2553.14	3299.57	3137.03	2989.45	1967.9	2070.3	1877.72	3347.54	1953.83	1970.52
Q6A0A9	Q6A0A9		FAM120A		10286	14177.8	13609.4	10756.8	10932.9	8886.88	11595.5	10293.7	12066.1	47943.3	56526.9	60358.3	8076.28	9167.3	10454.2	11369.7	11332	11044	10737.6	11291.2	10419.3	11666.8	11269.8	11373.6	16954.5	16267.6	15580.8	15484	14473.4	14675.6	19145.4	18057.3	19304.5
Q6A0D4	Q6A0D4		Rftn1																								343.313		731.596	681.696	804.306	643.124	714.848	616.435	1318.39	937.739	
Q6A4J8	Q6A4J8		Usp7		6960.74	6595.81	4093.85	3895.61	5516.81	7178.81	4916.4	4982.15	4062.49				7021.69	8861.41	10820.3	3925.59	3952.03	3795.68	4372.66	4481.02	3862.57	5311.91	5815.71	5075.65	6758.61	5338.85	5675.08	5149.69	5033.49	5058.88	8449.11	9266.01	8962.17
Q6AW69	Q6AW69		Cgnl1		4949.9	4170.86	5466.41	4242.33	3727.04	4362.43	4633.1	4964.76	5953.83				9872.51			6171.3	4909.86	4668.53	5851.96	5457.52	4545.4	4750.6	3825.67	3554.61	5794.53	5597.6	4541.06	5416.42	5644.98	5593.6	9434.39	8577.77	8242.97
Q6DFV3	Q6DFV3		Arhgap21								1125.46	1891.75	1219.67							928.989	1359.96	1161	1174.54	1465.84	1157.78	414.872		338.748	1433.12	1805.1	2113.75	1455.5	1120.89	1677.59			1943.12
Q6DFV5	Q6DFV5		Helz																					189.351									561.348	563.852		918.688	1181.66
Q6DFW4	Q6DFW4		Nop58		5118.14	4841.76	5408.44	4828.6	5370.35	6503.15	6510.56	5660.06	6009.15				6760.68	12243.6	9076.55	7772.12	7674.45	7216.62	8542.85	7967.8	8605.57	7956.51	9303.83	8515	10083.4	8880.86	9454.03	9862.24	10357	9767.01	12739.4	11653.7	12113.8
Q6DIC0	Q6DIC0		Smarca2			3522.27	3664.92		2525.48		1933.96	2217.4	2577.15							2154.47	2284.17	2075.67	2349.2	2167.38	2449.75	2973.11	3325.71	3295.07	3042.29	2981.12	2724.75	3091.52	2553.7	2885.12	4310	3629.22	3270.67
Q6DID3	Q6DID3		Scaf8																													2170.26	2467.82	2988.1	2963.49	4208.49	
Q6DVA0	Q6DVA0		Lemd2				1614.04		1512.69	3121.48	1215.35	1876.02	1803.72						4353.94	2810.05	2184.54	2302.69	2770.21	1989.99	2723	3422.72	3057.44	2625.01	4116.31	3995.9	5035.77	2790.38	3564.9	3849.25	7564.75	6865.99	7122.54
Q6DYE8	Q6DYE8		Enpp3			1906.57		1366.85	2035.92	1760.29	2187.82	1775.36	1917.1							1943.21	2079.04	1992.17	2412.44	2473.08	2312.9	2653.65	2625.84	3184.18	2487.56	2747.21	2458.45	2065.47	2311.01	2365.2	4781.53	4663.33	4856.08
Q6GQS1	Q6GQS1		Slc25a23		8188.3	3854.84	7719.19	4343.36	5328.26	4185.83	4172.56	4417.59	3802.77	27765.7	23040.5	26546.3	11382.8	13217.5		4367.48	3716.15	3599.19	3911.57	4459.79	4196.79	4011.75	4537.2	3923.55	3648.48	3574.26	2713.83	4859.53	4879.29	4663.44	9762.27	8978.76	8580.27
Q6GQT6	Q6GQT6		Scap				3252.9	2060.7	2090.87	1738.76	956.571	1098.67	1253.68						702.783	1096.11	1379.82	2092.12	1605.9	1119.98	1274.43	1121.53	1150.05	1085.23	1535.48	1551.87	1654.32	1218.15	1390.08	1306.07	2681.63	2202.87	1917.37
Q6GQT9	Q6GQT9		Nomo1		16588.9	13988.9	15268.7	13965.7	15097	14989.5	16423.4	17122.2	17199.2	53014.8	56191.8	49240.7	27944.5	29816.1	30721.2	17397	16870.9	16199.6	18934.4	17585.3	18707.3	15546.1	12831.4	14382.6	16112	15517.1	15799.3	15209.9	14371	14545.2	21357	23176	21013.9
Q6GQX2	Q6GQX2		Nckap5l																				7876.79	9004.14	8782.01	14482.6	13422.5	12665.6	6466.78	8004.34	7499.1	5851.21	5802.82	5945.4	4439.56	4301.67	3591.62
Q6GV12	Q6GV12		Kdsr		2444	3377.4	3108.39	2728.54	2288.91	2153.5	2240.23	2358.17	2869.4							2420.24	2216.07	2135.6	2151.43	2191.1	2251.86	1984.71	2158.02	1912.4	1808.8	1360.76	1398.26		1055.26	1350.79			
Q6IQX8	Q6IQX8		Znf219								547.355		743.937							915.235	376.955		888.584		658.489			815.87	886.58	1064.14	1108.13	828.181	867.257		1877.24	1307.49	1275.1
Q6IR34	Q6IR34		Gpsm1									392.702										1644.53	2186.57	1919.01							2801.73						
Q6IRU2	Q6IRU2		Tpm4		7603.23	6037.86	6773.61	5990.93	7078.03	6953.28	6601.13	6854.65	5385.56			14712.9	9178.28	11571.3	12029.2	7099.64	6149.24	7094.11	7969.77	8445.4	7566.97	6643.52	6265.06	5594.73	11530.9	10459.2	11213.3	6626.31	6524.29	6405.2	12418.3	12791	10425.4
Q6IRU5	Q6IRU5		Cltb		30973.7	31540.8	32175.4	32568.8	32219.8	31841.8	35005.8	32127.3	34402.9	167768	168180	163243	40607.5	45010.5	44514.2	28786	29302.6	26768.3	26233.1	25779.6	28207.1	23904.3	17234	16261.6	33372.9	35411.6	27373.2	13543.4	12088.7	13411.4	47654.7	36499.4	30406.1
Q6KAR6	Q6KAR6		Exoc3					2287.37		3784.91	2105.08	2311.76	1970.41							1996.78	1755.92	1962.81	1426.27	2123.05	3145.46	2544.89	2207.39	1732.14	5639.64	5570.81	4828.83	4415.01	4047.91	4260.19	10282	9198.09	6697.15
Q6KCD5	Q6KCD5		Nipbl		1488.28	1111.87	2137.74		1985.9		1536.69		1181.91							1378.17	1229	1267.27	1258.22	1552.74	1292.47		988.936	1253.07	1527	1167.42	697.83	1399.3	1662.73	1330.73	3039.13	1996.16	1886.63
Q6NS46	Q6NS46		Pdcd11				2168.27	1281.58	1409.03	1994.68	1221.48	1070.45	1797.03							2013.02	1803.01	1616.73	1534.86	1355.2	1781.96	1676.83	1941.43	1702.53	1718.55	1724.82	1481.71	1389.16	1681.15	1514.11	2343.32	1945	2507.48
Q6NS59	Q6NS59		Fam135a																								6639.8							12759			
Q6NS82	Q6NS82		Retreg2		2372.95	4451.69	3277.92	3783.4	3954.04	3933.19	5076.06	3820.88	3915.98							2999.78	2919.41	2773.15	2850.24	3352.55	3260.03			697.284	1261.3	695.969	883.522	1775.8	1833.19	2104.05		1361.69	1574.66
Q6NSQ7	Q6NSQ7		Ltv1								880.672												1046.91		540.376		677.25	932.572									
Q6NSR8	Q6NSR8		Npepl1		14413.1	13614.4	12021.1	12545.3	14642.4	14416.6	13178.6	14085.4	11893.9							14259.3	14544.5	10808.5	12663.1	11616	11401.5	14487.4	13208.5	14533.5	11031.2	11020.1	11024.5	11819.3	11028.4	10938.9	21207.4	14605.7	15051.1
Q6NT99	Q6NT99		Dusp23		5360.67	6497.13	8546.11	7024.98	6804.09	5705.77	7706.68	8842.94	8166.88							9041.9	8333.91	7822.11	6958.6	6731.07	7419.53	5521.04	5322.93	5736.86	8107.02	8588.24	8097.72	7573.81	7751.51	8554.79	6981.02	7578.58	7267.7
Q6NV83	Q6NV83		U2surp			13955.8	19072.6	10452.7	15199.7	14868.3	8101.59	7849.97	9565.03	41778.6				21826.1	16864.2	11448.6	10324.8	11136.4	10372.1	11284.2	11420.2	9077.55	10558.8	9079.25	10398	12647	11559.6	12094.6	11233.1	11978.5	15716.9	18451.1	14957.1
Q6NVE8	Q6NVE8		Wdr44																															386.127	683.032	642.75	
Q6NVF0	Q6NVF0		Ocrl								1163.97	1400.18	1383.14							1558.98	1720.92	1748.84	1797.65	1944.93	1800.8	3101.09	3657.43	3038.39	1803.44	2244.33	2069.56	877.337	700.402	1045.08			
Q6NVF4	Q6NVF4		Helb									1853.64	2856.87													1747.08	1703.03	1879.16		1419.54	1399.07	1222	1240.76	1218.28	1676.4		
Q6NVF9	Q6NVF9		Cpsf6		14083.3	14443.9	14396.5	10452.8	11925.6	9970.88	12062.3	10237.7	12796			60517	37077.4	7152.49		13786.3	13555.3	14348.9	12606.2	11184.6	10593.4	13070.2	11608.9	15782.9	15469.6	20133.8	16058.5	7616.32	7499.73	9392.73	4891.51	4600.25	4020.85
Q6NWW9	Q6NWW9		Fndc3b																				1466.61	1633.02	1858.8				1823.5	2247.08	1841.49	1685.83	1784.65	1626.04	2971.16	2499.68	2419.59
Q6NXM2	Q6NXM2		Rcbtb1																				3277.94	561.393	762.169								1116.77	1186.31	2211.84	1921.55	1936.93
Q6NXN1	Q6NXN1		Szrd1																	403.562			407.513	390.446	465.446	444.661			783.255	715.291	583.162	647.17	695.582	602.02	1031.45	676.998	780.577
Q6NZB0	Q6NZB0		Dnajc8					5622.83				3451.97												937.563			1369.24	1033.51			1209.6	1308.15	1476.44	1381.95	2690.1	2269.08	1958.6
Q6NZC7	Q6NZC7		Sec23ip		3708.71	5456.9	4579.94	4437.71	5298.26	3923.91	4018.43	5589.57	5606.27	30825.5	24713.4	33765.2	9733.41	12878.1	10950.6	5421.88	4886.84	4073.09	5062.74	5178.49	5190.99	5897.09	5065.8	5898.57	4009.13	4556.6	4056.88	5983.04	4906.46	5041.85	9044.22	7998.12	5705.57
Q6NZF1	Q6NZF1		Zc3h11a			1558.48		1695.45	2380.69	1446.2	1513.57	2098.9	2192.88							1956.43	2240.66	2114.53	2106.71	2327.36	1902.13	2104.42	1899.29	1110.3	1568.89	1998.81	2439.29	2328.51	1510.5	2094.79	3001.63	2092.73	3623.5
Q6NZJ6	Q6NZJ6		Eif4g1		37866.5	42819.4	37545.6	34451.5	35187.9	34714.9	37381.2	36992.7	34386.2	154889	170612	157250	46256.1	35830.7	38295.3	37451.3	36518.7	36834.6	34940.5	35461.4	34167.8	39917.6	39664.6	38134.5	32562	31031.5	35008.1	36146.6	38829.6	40371.8	54078.3	46504.1	41587.6
Q6NZN0	Q6NZN0		Rbm26						2928.72	3364.2	2738.8	1988.07	1810.28						4339.27	1286.79	1837.58	2385.34	1646.63	1955.1	1797.82	2257.12	2335.98	1839.83	2779.77	2617.01	2786.77	2824.61	2530.23	2909.5	5064.95	4675.77	3978.79
Q6NZQ2	Q6NZQ2		Ddx31						495.786		777.388	1129.65	654.349							938.226	769.247	798.378	1190.38	633.107	661.071			730.004	1031.64	940.645	1254.33	447.634	702.872				
Q6P069	Q6P069		Sri		30231.2	29935	29299.6	25584.2	25523.5	22340.5	22262.6	24057.9	19212.7	149939	134931	140651	67234.3	59130.2	62803.2	20287.1	22765.3	22029.4	15611.8	15885.2	16593.7	13542.1	14524.1	12314.4	10033.9	9776.57	9646.25	11820.4	10135.1	13806.9	26602.1	12628.2	12171.4
Q6P073	Q6P073		Ube2j2										2340.67											2633.7		2998.45	3413.8		2883.22	2222.59	2347.74	2744.17	2512.33	2555.7			3049.18
